Entity,citation,identifier,title,label
http://www.mycorrhizas.info,"Brundrett, Mark. Mycorrhizal associations: the web resource. 2008. Retrieved: 2022 from http://www.mycorrhizas.info/",url:www.mycorrhizas.info+D75B2C2:C75C2:D77B2C2:C75C2:D64C2:D60C2:D59C2:D60C2:E63C2:D64B2C2:C75C2:I57C2:E56C2:E52C2:D51C2:D50,Mycorrhizal Associations: The Web Resource,Brundrett 2008
http://doi.org/10.1002/ajb2.1538 ,"Schönenberger, Juerg, et al. Phylogenetic analysis of fossil flowers using an angiospermwide data set: proofofconcept and challenges ahead. American journal of botany 107.10 (2020): 1433-1448.",doi:10.1002/ajb2.1538,Phylogenetic analysis of fossil flowers using an angiosperm-wide data set: proof-of-concept and challenges ahead,Schönenberger 2020
http://doi.org/10.1002/ece3.1173,"Walker, Anthony P., et al. The relationship of leaf photosynthetic traits“Vcmax and Jmax“to leaf nitrogen, leaf phosphorus, and specific leaf area: a metaanalysis and modeling study. Ecology and evolution 4.16 (2014): 3218-3235.",doi:10.1002/ece3.1173,"The relationship of leaf photosynthetic traits “ Vcmax and Jmax “ to leaf nitrogen, leaf phosphorus, and specific leaf area: a meta-analysis and modeling study",Walker 2014
http://doi.org/10.1007/BF00317209,"Poorter, H., Remkes, C. Leaf area ratio and net assimilation rate of 24 wild species differing in relative growth rate. Oecologia 83, 553-“559 (1990).",doi:10.1007/BF00317209,Leaf area ratio and net assimilation rate of 24 wild species differing in relative growth rate,Poorter & Remkes 1990
http://doi.org/10.1007/s004420050337,"Gamon, JAm, L. Serrano, and J. S. Surfus. The photochemical reflectance index: an optical indicator of photosynthetic radiation use efficiency across species, functional types, and nutrient levels. Oecologia 112 (1997): 492-501.",doi:10.1007/s004420050337,"The photochemical reflectance index: an optical indicator of photosynthetic radiation use efficiency across species, functional types, and nutrient levels",Gamon 1997
http://doi.org/10.1007/s11284-010-0712-4 ,"Niinemets, Ülo. A review of light interception in plant stands from leaf to canopy in different plant functional types and in species with varying shade tolerance. Ecological Research 25.4 (2010): 693-714.",doi:10.1007/s11284-010-0712-4,A review of light interception in plant stands from leaf to canopy in different plant functional types and in species with varying shade tolerance,Niinemets 2010
http://doi.org/10.1007/978-1-4684-7747-4_8,"Bradbeer, J. W., and J. W. Bradbeer. Seed viability and vigour. Seed dormancy and germination (1988): 95-109.",doi:10.1007/978-1-4684-7747-4_8,Seed Viability and Vigour,Bradbeer 1988
http://doi.org/10.1007/978-3-662-04931-0,"Tyree, Melvin T., and Martin H. Zimmermann. Xylem structure and the ascent of sap. Springer Science & Business Media, 2013.",doi:10.1007/978-3-662-04931-0,Xylem structure and the ascent of sap.,Tyree & Zimmerman 2002
http://doi.org/10.1016/B978-0-12-380868-4.00004-1,"Ogburn, R. Matthew, and Erika J. Edwards. The ecological water-use strategies of succulent plants. Advances in botanical research. Vol. 55. Academic Press, 2010. 179-225.",doi:10.1016/B978-0-12-380868-4.00004-1,The Ecological Water-Use Strategies of Succulent Plants,Ogburn & Edwards 2010
http://doi.org/10.1016/j.ppees.2007.01.001,"Hanley, Mick E., et al. Plant structural traits and their role in anti-herbivore defence. Perspectives in Plant Ecology, Evolution and Systematics 8.4 (2007): 157-178.",doi:10.1016/j.ppees.2007.01.001,Plant structural traits and their role in anti-herbivore defence,Hanley 2007
