identifier,trait,label,description_encoded,description,comments,inScheme,type,min,max,units,units_uom,category,created,modified,reviewed,deprecated_trait_name,constraints,structure,measured_characteristic,reviewers,references,keywords,exact_match,close_match,related_match,TOP_exact,TOP_close,TOP_related,TRY_exact,TRY_close,TRY_related,LEDA_exact,LEDA_close,LEDA_related,GIFT_exact,GIFT_close,GIFT_related,BIEN_exact,BIEN_close,BIEN_related,BROT_exact,BROT_close,BROT_related,PalmTraits_exact,PalmTraits_close
trait_0000012,leaf_Al_per_dry_mass,Leaf aluminium (Al) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of aluminium [CHEBI:28984] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,The ratio of the mass of aluminium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,0.01,12000,mg/kg,milligram per kilogram,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_28984,,,,Leaf aluminium content per leaf dry mass [TOP449] (https://top-thesaurus.org/index),,,Leaf aluminium (Al) content per leaf dry mass [TRY:249] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000014,leaf_B_per_dry_mass,Leaf boron (B) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of boron [CHEBI:27560] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,The ratio of the mass of boron in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,0.01,1000,mg/kg,milligram per kilogram,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_27560; CHEBI_27027,,,,Leaf boron content per leaf dry mass [TOP450] (https://top-thesaurus.org/index),,,Leaf boron (B) content per leaf dry mass [TRY:250] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000016,leaf_C_per_dry_mass,Leaf carbon (C) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of carbon [CHEBI:27594] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,The ratio of the mass of carbon in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,50,750,mg/g,milligram per gram,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_27594,TO_0003088; CO_357:0000086,,,Leaf carbon content per leaf dry mass [TOP452] (https://top-thesaurus.org/index),,,Leaf carbon (C) content per leaf dry mass [TRY:13] (https://www.try-db.org/de/de.php),,,,,,,,,leaf carbon content per leaf dry mass [BIEN] (https://bien.nceas.ucsb.edu/bien/biendata),,,,,,,
trait_0000018,leaf_Ca_per_dry_mass,Leaf calcium (Ca) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of calcium [CHEBI:22984] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,The ratio of the mass of calcium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,0.01,1000,mg/g,milligram per gram,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_22984; CHEBI_27027,,,,Leaf calcium content per leaf dry mass [TOP451] (https://top-thesaurus.org/index),,,Leaf calcium (Ca) content per leaf dry mass [TRY:252] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000020,leaf_Cl_per_dry_mass,Leaf chlorine (Cl) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of chlorine [CHEBI:23116] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,The ratio of the mass of chlorine in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,10,10000,mg/kg,milligram per kilogram,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_23116,,,,Leaf chlorine content per leaf dry mass [TOP453] (https://top-thesaurus.org/index),,,Leaf chlorine (Cl) content per leaf dry mass [TRY:539] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000022,leaf_Cr_per_dry_mass,Leaf chromium (Cr) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of chromium [CHEBI:28073] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,The ratio of the mass of chromium in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,0.01,150,ppm,parts per million,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_28073,,,,,,,Leaf chromium (Cr) content per leaf dry mass [TRY:254] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000024,leaf_Co_per_dry_mass,Leaf cobalt (Co) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of cobalt [CHEBI:27638] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,The ratio of the mass of cobalt in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,0.01,150,ppm,parts per million,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_27638; CHEBI_27027,,,,Leaf cobalt content per leaf dry mass [TOP454] (https://top-thesaurus.org/index),,,Leaf cobalt (Co) content per leaf dry mass [TRY:253] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000026,leaf_Cu_per_dry_mass,Leaf copper (Cu) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of copper [CHEBI:28694] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,The ratio of the mass of copper in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,0.01,150,mg/kg,milligram per kilogram,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_28694; CHEBI_27027,,,,Leaf copper content per leaf dry mass [TOP455] (https://top-thesaurus.org/index),,,Leaf copper (Cu) content per leaf dry mass [TRY:255] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000028,leaf_Fe_per_dry_mass,Leaf iron (Fe) content per unit leaf dry mass,The ratio [PATO:0001470] of the mass [PATO:0000125] of iron [CHEBI:18248] in a leaf [PO:0025034] to leaf dry mass [TO:0001014].,The ratio of the mass of iron in a leaf to leaf dry mass.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,1,10000,mg/kg,milligram per kilogram,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; ECSO_00000619; PATO_0001470,,,CHEBI_18248; CHEBI_27027,,,,Leaf iron content per leaf dry mass [TOP456] (https://top-thesaurus.org/index),,,Leaf iron (Fe) content per leaf dry mass [TRY:256] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
trait_0000029,leaf_K_per_area,Leaf potassium (K) content per unit leaf area,The ratio [PATO:0001470] of the mass [PATO:0000125] of potassium [CHEBI:26216] in a leaf [PO:0025034] to leaf area [PATO:0001323].,The ratio of the mass of potassium in a leaf to leaf area.,"Includes measurements on leaf analogs, including cladodes and phylloclades.",https://w3id.org/APD,STATO_0000251,0.1,10,g/m2,gram per square metre,trait_group_0000008,14/07/2021,05/02/2024,,,none,PO_0025034,PATO_0000125; EnvThes:22003; PATO_0001470,,,CHEBI_26216; CHEBI_33937,TO_0003049,,,Leaf potassium content per leaf area [TOP483] (https://top-thesaurus.org/index),,,Leaf potassium (K) content per leaf area [TRY:52] (https://www.try-db.org/de/de.php),,,,,,,,,,,,,,,,
