Subject,Predicate,Object
<https://github.com/traitecoevo/APD/0000000>,<http://www.w3.org/2000/01/rdf-schema#label>,'plant trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000000>,<http://purl.org/dc/terms/description>,"'A measurable or observable characteristic of a cellular component [GO:0005575], biological process [GO:0008150] or molecular function [GO:0003674] that is part of, or has participant a plant anatomical entity [PO:0025131] and/or a plant structure development stage [PO:0009012]. This includes physiological, molecular and biochemical traits as well.'@en"
<https://github.com/traitecoevo/APD/0000000>,<http://www.w3.org/2004/02/skos/core#broader>,<http://www.w3.org/2002/07/owl/Thing>
<https://github.com/traitecoevo/APD/0000000>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000387>
<https://github.com/traitecoevo/APD/0000002>,<http://www.w3.org/2000/01/rdf-schema#label>,'biochemical trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000002>,<http://purl.org/dc/terms/description>,"'A plant trait [TO:0000387] which is a quality of a chemical entity [CHEBI:24431], a plant metabolite [CHEBI:76924], or a molecular function [GO:0003674], which occurs in a cellular component [GO:0005575], plant anatomical entity [PO:0025131] or during a plant structure development stage [PO:0009012].'@en"
<https://github.com/traitecoevo/APD/0000002>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000000>
<https://github.com/traitecoevo/APD/0000002>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000277>
<https://github.com/traitecoevo/APD/0000004>,<http://www.w3.org/2000/01/rdf-schema#label>,'mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000004>,<http://purl.org/dc/terms/description>,'A biochemical trait [TO:0000277] that is the amount of a particular mineral or ion constituent occurring in a plant anatomical entity [PO:0025131].'@en
<https://github.com/traitecoevo/APD/0000004>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000002>
<https://github.com/traitecoevo/APD/0000004>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000465>
<https://github.com/traitecoevo/APD/0000006>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000006>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on a leaf [PO:0025034].'@en
<https://github.com/traitecoevo/APD/0000006>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000004>
<https://github.com/traitecoevo/APD/0000008>,<http://www.w3.org/2000/01/rdf-schema#label>,'live leaf mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000008>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on a live [PATO:0001421] leaf [PO:0025034].'@en
<https://github.com/traitecoevo/APD/0000008>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000006>
<https://github.com/traitecoevo/APD/0000108>,<http://www.w3.org/2000/01/rdf-schema#label>,'senesced leaf mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000108>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on a senescent [PATO:0001487] leaf [PO:0025034].'@en
<https://github.com/traitecoevo/APD/0000108>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000006>
<https://github.com/traitecoevo/APD/0000206>,<http://www.w3.org/2000/01/rdf-schema#label>,'stem mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000206>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on a stem [PO:0009047].'@en
<https://github.com/traitecoevo/APD/0000206>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000004>
<https://github.com/traitecoevo/APD/0000408>,<http://www.w3.org/2000/01/rdf-schema#label>,'wood mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000408>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on wood [NCIT:C93062].'@en
<https://github.com/traitecoevo/APD/0000408>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000206>
<https://github.com/traitecoevo/APD/0000508>,<http://www.w3.org/2000/01/rdf-schema#label>,'senesced wood mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000508>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on senescent [PATO:0001487] wood [NCIT:C93062].'@en
<https://github.com/traitecoevo/APD/0000508>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000206>
<https://github.com/traitecoevo/APD/0000608>,<http://www.w3.org/2000/01/rdf-schema#label>,'bark mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000608>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on bark [PO:0004518].'@en
<https://github.com/traitecoevo/APD/0000608>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000004>
<https://github.com/traitecoevo/APD/0000808>,<http://www.w3.org/2000/01/rdf-schema#label>,'root mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0000808>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on a root [PO:0009005].'@en
<https://github.com/traitecoevo/APD/0000808>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000004>
<https://github.com/traitecoevo/APD/0001006>,<http://www.w3.org/2000/01/rdf-schema#label>,'reproductive shoot system mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0001006>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on the reproductive shoot system [PO:0025082].'@en
<https://github.com/traitecoevo/APD/0001006>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000004>
<https://github.com/traitecoevo/APD/0001502>,<http://www.w3.org/2000/01/rdf-schema#label>,'cell or tissue mineral and ion content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0001502>,<http://purl.org/dc/terms/description>,'A mineral and ion content trait which is measured on an individual tissue [CARO:0000043] type or cell [CL:0000000] type.'@en
<https://github.com/traitecoevo/APD/0001502>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000004>
<https://github.com/traitecoevo/APD/0002004>,<http://www.w3.org/2000/01/rdf-schema#label>,'metabolite content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0002004>,<http://purl.org/dc/terms/description>,'The trait associated with an assay to determine the affected metabolites profile.'@en
<https://github.com/traitecoevo/APD/0002004>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000002>
<https://github.com/traitecoevo/APD/0002004>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000281>
<https://github.com/traitecoevo/APD/0002005>,<http://www.w3.org/2000/01/rdf-schema#label>,'carbohydrate content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0002005>,<http://purl.org/dc/terms/description>,'A metabolite content trait [TO:0000281] which is the amount of carbohydrate [CHEBI:16646] in a plant structure [PO:0009011].'@en
<https://github.com/traitecoevo/APD/0002005>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0002004>
<https://github.com/traitecoevo/APD/0002005>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000291>
<https://github.com/traitecoevo/APD/0002006>,<http://www.w3.org/2000/01/rdf-schema#label>,'lipid content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0002006>,<http://purl.org/dc/terms/description>,'The total lipid [CHEBI:18059] content measured in a plant or a plant part.'@en
<https://github.com/traitecoevo/APD/0002006>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0002004>
<https://github.com/traitecoevo/APD/0002007>,<http://www.w3.org/2000/01/rdf-schema#label>,'phenolic compound content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0002007>,<http://purl.org/dc/terms/description>,"'Amount of phenolics present in the plant part, whole plant or product.'@en"
<https://github.com/traitecoevo/APD/0002007>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0002004>
<https://github.com/traitecoevo/APD/0002007>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0020076>
<https://github.com/traitecoevo/APD/0002008>,<http://www.w3.org/2000/01/rdf-schema#label>,'pigment content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0002008>,<http://purl.org/dc/terms/description>,'NA'@en
<https://github.com/traitecoevo/APD/0002008>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0002004>
<https://github.com/traitecoevo/APD/0002008>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000494>
<https://github.com/traitecoevo/APD/0002009>,<http://www.w3.org/2000/01/rdf-schema#label>,'protein content trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0002009>,<http://purl.org/dc/terms/description>,'The total protein content measured in a plant or a plant part.'@en
<https://github.com/traitecoevo/APD/0002009>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0002004>
<https://github.com/traitecoevo/APD/0002009>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000598>
<https://github.com/traitecoevo/APD/0003004>,<http://www.w3.org/2000/01/rdf-schema#label>,'stable isotope ratio determination'^^[xsd:string]
<https://github.com/traitecoevo/APD/0003004>,<http://purl.org/dc/terms/description>,"'A mineral and ion content trait [TO:0000465] which is a ratio [PATO:0001470] of two naturally occurring stable isotopes [EnvThes:20310], generally expressed in delta notation.'@en"
<https://github.com/traitecoevo/APD/0003004>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000002>
<https://github.com/traitecoevo/APD/0010001>,<http://www.w3.org/2000/01/rdf-schema#label>,'plant morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0010001>,<http://purl.org/dc/terms/description>,"'A plant trait [TO:0000387] which is a morphological quality of a plant anatomical entity [PO:0025131] or a constituent cellular component [GO:0005575] contained therein. Includes traits of plant structures [PO:0009011] such as plant cell [PO:0009002], plant organ [PO:0009008], portion of plant tissue [PO:0009007], vascular system [PO:0000034], whole plant [PO:0000003] and seed [PO:0009010], as well as those of plant anatomical spaces [PO:0025117] and portions of plant substance [PO:0025161].'@en"
<https://github.com/traitecoevo/APD/0010001>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0000000>
<https://github.com/traitecoevo/APD/0010001>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000017>
<https://github.com/traitecoevo/APD/0010004>,<http://www.w3.org/2000/01/rdf-schema#label>,'whole plant morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0010004>,<http://purl.org/dc/terms/description>,'A plant structure morphology trait [TO:0000839] which is a quality of a whole plant [PO:0000003].'@en
<https://github.com/traitecoevo/APD/0010004>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0010001>
<https://github.com/traitecoevo/APD/0010004>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000398>
<https://github.com/traitecoevo/APD/0010114>,<http://www.w3.org/2000/01/rdf-schema#label>,'plant embryo morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0010114>,<http://purl.org/dc/terms/description>,'A whole plant morphology trait [TO:0000398] which is a quality of a plant embryo [PO:0009009].'@en
<https://github.com/traitecoevo/APD/0010114>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0010004>
<https://github.com/traitecoevo/APD/0010114>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000064>
<https://github.com/traitecoevo/APD/0011001>,<http://www.w3.org/2000/01/rdf-schema#label>,'plant structure morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011001>,<http://purl.org/dc/terms/description>,'A plant morphology trait [TO:0000017] which is a quality of a plant structure [PO:0009011].'@en
<https://github.com/traitecoevo/APD/0011001>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0010001>
<https://github.com/traitecoevo/APD/0011202>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011202>,<http://purl.org/dc/terms/description>,'A phyllome morphology trait [TO:0000747] which is quality of a leaf [PO:0025034].'@en
<https://github.com/traitecoevo/APD/0011202>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011001>
<https://github.com/traitecoevo/APD/0011202>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000748>
<https://github.com/traitecoevo/APD/0011204>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf size trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011204>,<http://purl.org/dc/terms/description>,'Refer to size [PATO:0000117]: A morphology quality inhering in a bearer by virtue of the bearers physical magnitude.'@en
<https://github.com/traitecoevo/APD/0011204>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011202>
<https://github.com/traitecoevo/APD/0011204>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0002637>
<https://github.com/traitecoevo/APD/0011206>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf mass trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011206>,<http://purl.org/dc/terms/description>,'A leaf morphology trait [TO:0000505] which is the weight of a leaf [PO:0025034].'@en
<https://github.com/traitecoevo/APD/0011206>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011202>
<https://github.com/traitecoevo/APD/0011206>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000505>
<https://github.com/traitecoevo/APD/0011304>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf shape trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011304>,<http://purl.org/dc/terms/description>,"'A leaf morphology trait [TO:0000748] which is the variation in shapes and forms of a leaf [PO:0025034]. Refer to shape [PATO:0000052]: A morphological quality inhering in a bearer by virtue of the bearers ratios of distances between its features [points, edges, surfaces and also holes etc].'@en"
<https://github.com/traitecoevo/APD/0011304>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011202>
<https://github.com/traitecoevo/APD/0011304>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000492>
<https://github.com/traitecoevo/APD/0011402>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf position trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011402>,<http://purl.org/dc/terms/description>,'A leaf morphology trait [TO:0000748] which refers to the position [PATO:0000140] of leaves [PO:0025034] relative to the stem [PO:0009047].'@en
<https://github.com/traitecoevo/APD/0011402>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011202>
<https://github.com/traitecoevo/APD/0011402>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000541>
<https://github.com/traitecoevo/APD/0011502>,<http://www.w3.org/2000/01/rdf-schema#label>,'portion of plant tissue morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011502>,<http://purl.org/dc/terms/description>,'A plant structure morphology trait [TO:0000839] which is a quality of a portion of plant tissue [PO:0009007].'@en
<https://github.com/traitecoevo/APD/0011502>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011001>
<https://github.com/traitecoevo/APD/0011502>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000843>
<https://github.com/traitecoevo/APD/0011503>,<http://www.w3.org/2000/01/rdf-schema#label>,'plant cell morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011503>,<http://purl.org/dc/terms/description>,'A plant structure morphology trait [TO:0000839] which is a quality of a plant cell [PO:0009002].'@en
<https://github.com/traitecoevo/APD/0011503>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011001>
<https://github.com/traitecoevo/APD/0011503>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0002683>
<https://github.com/traitecoevo/APD/0011602>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf stomatal complex morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011602>,<http://purl.org/dc/terms/description>,'A vascular leaf morphology trait [TO:0000419] which is a quality of the stomatal complexes [PO:0002000] present on the leaf surface.'@en
<https://github.com/traitecoevo/APD/0011602>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011202>
<https://github.com/traitecoevo/APD/0011702>,<http://www.w3.org/2000/01/rdf-schema#label>,'leaf optical properties trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011702>,<http://purl.org/dc/terms/description>,"'Leaf morphology trait [TO:0000748] associated with the leafs optical [NCIT:C16940] properties, including the absorption [SWEET:soprocw:Absorption], transmission [SWEET:soprocw:Transmission], and reflection [SWEET:soprocw:Reflection] of light [OMIT:0009112].'@en"
<https://github.com/traitecoevo/APD/0011702>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011202>
<https://github.com/traitecoevo/APD/0011802>,<http://www.w3.org/2000/01/rdf-schema#label>,'stem morphology trait'^^[xsd:string]
<https://github.com/traitecoevo/APD/0011802>,<http://purl.org/dc/terms/description>,'A shoot axis morphology trait [TO:0000739] which is the quality of a stem [PO:0009047].'@en
<https://github.com/traitecoevo/APD/0011802>,<http://www.w3.org/2004/02/skos/core#broader>,<https://github.com/traitecoevo/APD/0011001>
<https://github.com/traitecoevo/APD/0011802>,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://purl.obolibrary.org/obo/TO_0000361>
<https://github.com/traitecoevo/APD/0011902>,<http://www.w3.org/2000/01/rdf-schema#label>,'stem mass trait'^^[xsd:string]
