Subject,property,Predicate,value,Object,graph,Subject_stripped
https://w3id.org/APD/glossary,description,http://purl.org/dc/terms/description,"AusTraits is an open-source, harmonized database of Australian plant trait data. It synthesises data on nearly 500 traits across more than 30,000 taxa from field campaigns, published literature, taxonomic monographs, and individual taxon descriptions. Begun in 2016 as an initiative between three lab groups, it has grown to be the largest collation of plant trait data for Australian plants. AusTraits integrates plant trait data collected by researchers from diverse disciplines, including functional plant biology, plant physiology, plant taxonomy, and conservation biology. By harmonizing and error checking values, linking all AusTraits data entries to detailed metadata, and documenting trait and trait values definitions, AusTraits is a resource researchers can trust and use for their research agendas with minimal additional filtering or manipulations.",NA,.,https://w3id.org/APD/glossary
https://w3id.org/APD/glossary,license,http://purl.org/dc/terms/license,https://creativecommons.org/licenses/by/4.0/,"https://creativecommons.org/licenses/by/4.0/""^^xsd:anyURI",.,https://w3id.org/APD/glossary
https://w3id.org/APD/glossary,publisher,http://purl.org/dc/terms/publisher,https://austraits.org/,"https://austraits.org/""^^xsd:anyURI",.,https://w3id.org/APD/glossary
https://w3id.org/APD/glossary,license,http://purl.org/dc/terms/license,https://creativecommons.org/licenses/by/4.0/,"https://creativecommons.org/licenses/by/4.0/""^^xsd:anyURI",.,https://w3id.org/APD/glossary
https://w3id.org/APD/glossary,publisher,http://purl.org/dc/terms/publisher,https://austraits.org/,"https://austraits.org/""^^xsd:anyURI",.,https://w3id.org/APD/glossary
https://w3id.org/APD/glossary,title,http://purl.org/dc/terms/title,AusTraits Plant Dictionary glossary,NA,.,https://w3id.org/APD/glossary
https://w3id.org/APD/glossary,preferred label,http://www.w3.org/2004/02/skos/core#prefLabel,AusTraits Plant Dictionary glossary,NA,.,https://w3id.org/APD/glossary
https://w3id.org/APD/traits,description,http://purl.org/dc/terms/description,"AusTraits is an open-source, harmonized database of Australian plant trait data. It synthesises data on nearly 500 traits across more than 30,000 taxa from field campaigns, published literature, taxonomic monographs, and individual taxon descriptions. Begun in 2016 as an initiative between three lab groups, it has grown to be the largest collation of plant trait data for Australian plants. AusTraits integrates plant trait data collected by researchers from diverse disciplines, including functional plant biology, plant physiology, plant taxonomy, and conservation biology. By harmonizing and error checking values, linking all AusTraits data entries to detailed metadata, and documenting trait and trait values definitions, AusTraits is a resource researchers can trust and use for their research agendas with minimal additional filtering or manipulations.",NA,.,https://w3id.org/APD/traits
https://w3id.org/APD/traits,license,http://purl.org/dc/terms/license,https://creativecommons.org/licenses/by/4.0/,"https://creativecommons.org/licenses/by/4.0/""^^xsd:anyURI",.,https://w3id.org/APD/traits
https://w3id.org/APD/traits,publisher,http://purl.org/dc/terms/publisher,https://austraits.org/,"https://austraits.org/""^^xsd:anyURI",.,https://w3id.org/APD/traits
https://w3id.org/APD/traits,license,http://purl.org/dc/terms/license,https://creativecommons.org/licenses/by/4.0/,"https://creativecommons.org/licenses/by/4.0/""^^xsd:anyURI",.,https://w3id.org/APD/traits
